DISTRICT_ID,DISTRICT,STATE_ID
728,SOPORE,15
729,SOUTH,30
730,SOUTH GOA,11
731,SOUTH WEST,10
732,SOUTH-EAST,10
733,SOUTH-WEST,10
734,SPL CELL,10
735,SPL NARCOTIC,24
736,SRIKAKULAM,2
737,SRINAGAR,15
738,SRP(CUTTACK),26
739,SRP(ROURKELA),26
740,ST.RAVIDASNAGAR,33
741,STF,10
742,SUBANSIRI LOWER,3
743,SUBANSIRI UPPER,3
744,SUKMA,7
745,SULTANPUR,33
746,SUNDARGARH,26
747,SUPAUL,5
748,SURAJPUR,7
749,SURAT COMMR.,12
750,SURAT RURAL,12
751,SURENDRANAGAR,12
752,TAMENGLONG,22
753,TAPI,12
754,TARN TARAN,28
755,TAWANG,3
756,TEHRI GARHWAL,34
757,THANE COMMR.,21
758,THANE RURAL,21
759,THANJAVUR,31
760,THENI,31
761,THIRUNELVELI RURAL,31
762,THIRUNELVELI URBAN,31
763,THIRUVALLUR,31
764,THIRUVANNAMALAI,31
765,THIRUVARUR,31
766,THOOTHUGUDI,31
767,THOUBAL,22
768,THRISSUR,18
769,THRISSUR COMMR.,18
770,THRISSUR RURAL,18
771,TIKAMGARH,20
772,TINSUKIA,4
773,TIRAP,3
774,TIRUPATHI URBAN,2
775,TIRUPPUR,31
776,TONK,29
777,TRAFFIC PS,24
778,TRICHY RLY.,31
779,TRICHY RURAL,31
780,TRICHY URBAN,31
781,TRIVANDRUM,18
782,TRIVANDRUM COMMR.,18
783,TRIVANDRUM RURAL,18
784,TUENSANG,25
785,TUMKUR,17
786,UDAIPUR,29
787,UDALGURI,4
788,UDHAMPUR,15
789,UDHAMSINGH NAGAR,34
790,UDUPI,17
791,UJJAIN,20
792,UKHRUL,22
793,UMARIYA,20
794,UNA,14
795,UNAKOTI,32
796,UNNAO,33
797,UPPER DIBANG VALLEY,3
798,UTTAR DINAJPUR,35
799,UTTAR KANNADA,17
800,UTTARKASHI,34
801,VADODARA COMMR.,12
802,VADODARA RURAL,12
803,VAISHALI,5
804,VALSAD,12
805,VARANASI,33
806,VELLORE,31
807,VIDISHA,20
808,VIJAYAWADA,2
809,VIJAYAWADA CITY,2
810,VIJAYAWADA RLY.,2
811,VILLUPURAM,31
812,VILUPPURAM,31
813,VIRUDHUNAGAR,31
814,VISAKHA RURAL,2
815,VISAKHAPATNAM,2
816,VIZIANAGARAM,2
817,W.RLY,12
818,W.RLY AHMEDABAD,12
819,W.RLY VADODARA,12
820,WARANGAL,2
821,WARANGAL URBAN,2
822,WARDHA,21
823,WASHIM,21
824,WAYANADU,18
825,WEST,30
826,WEST GODAVARI,2
827,WOKHA,25
828,YADGIRI,17
829,YAMUNANAGAR,13
830,YAVATMAL,21
831,ZUNHEBOTO,25
